um	nm^3
1003.52	547574
669.013	227560
501.76	125374.6
401.408	75846.8
334.507	60422.4
286.72	39162.6
250.88	26747
223.004	22969
200.704	17923.1
182.458	16265.6
167.253	12251.06
154.388	10853.76
143.36	9265.7
133.803	7602.52
125.44	7007.84
118.061	6633.78
111.502	6321.26
105.634	4778.04
100.352	4570.14
54.2443	3246.94
52.8168	2710.2
26.59574468	1019.396
21.27659574	723.76
17.73052789	931.662
15.19754529	502.05
13.29787234	389.41
11.820317	391.432
10.63829787	321.356
9.671179884	299.33
8.865248227	286.076
8.183306056	258.268
7.598784195	255.698
7.092198582	228.468
6.64893617	214.138
6.257822278	231.944
5.910165485	205.046
5.555555556	105.9084
3.703703704	93.4922
2.777777778	78.833
2.222222222	74.0836
1.851855281	57.9012
1.587299068	57.8606
1.388888889	49.8586
1.234566377	45.453
1.111111111	39.6302
1.01010101	43.4376
0.925925926	41.3158
0.854700855	35.6598
0.793650794	34.7042
0.740740741	32.5366
0.694444444	29.5756
0.653594771	27.9662
0.617283951	26.688
0.584795322	27.3214
0.555555556	26.5712
0.529100529	22.9798
0.454545455	14.45146
0.378787879	10.67246
0.324675325	8.64898
0.284090909	6.75326
0.252525253	6.34024
0.227272727	5.79064
0.20661157	5.25864
0.181818	4.622333122
0.166667	3.473562974
0.153846	3.328387686
0.142857	2.965358362
0.133333	2.2823192
0.125	2.387855922
0.117647	2.020278146
0.111111	1.750870978
0.105263	1.734573008
0.1	1.409816218
0.0909091	1.01700177
0.0833333	1.3061568
0.0769231	0.986954565
0.0714286	0.922776845
0.0666667	1.08295411
0.0625	0.860547885
0.0588235	0.64561249
0.0555556	0.696678075
0.0526316	0.53695652
0.05	0.539457275
0.047619	0.518505595
0.0454545	0.458264855
0.0434783	0.437849915
0.0416667	0.413758455
0.04	0.43276018
0.0384615	0.362678625
0.037037	0.37083828
0.0357143	0.330164
0.0344828	0.28322145
0.0333333	0.272564755
0.0322581	0.268689185
0.03125	0.2308572
0.030303	0.218909965
0.0294118	0.22484033
0.0285714	0.208894585
0.0277778	0.2006347
0.027027	0.1793878
0.0263158	0.1452228
0.025641	0.147398995
0.025	0.14906233
0.0243902	0.12348214
0.0238095	0.125563207
0.0232558	0.10812092
0.0227273	0.100055495
0.0222222	0.102098075
0.0217391	0.099314382
0.0212766	0.081526195
0.0208333	0.083793495
0.0204082	0.064741828
0.02	0.07296387
0.0196078	0.06354607
0.0192308	0.058588536
0.0188679	0.051873001
0.0185185	0.053881444
0.0181818	0.051294348
0.0178571	0.04627086
0.0175439	0.042755416
0.0172414	0.036557311
0.0169492	0.038104352
0.0166667	0.029188394
0.0163934	0.03038917
0.016129	0.028620296
0.015873	0.026351865
0.015625	0.023270331
0.0153846	0.023577121
0.0151515	0.019633126
0.0149254	0.018785475
0.0147059	0.020626199
0.0144928	0.016403898
0.0142857	0.016259946
0.0140845	0.015192154
0.0138889	0.013687505
0.0136986	0.015761623
0.0135135	0.010655498
0.0133333	0.011329207
0.0131579	0.010956695
0.012987	0.009729903
0.0128205	0.008493016
0.0126582	0.007559815
0.0125	0.007834709
0.0123457	0.006708311
0.0121951	0.006587296
0.0120482	0.006471426
0.0119048	0.006122807
0.0117647	0.006411683
0.0116279	0.004952481
0.0114943	0.004823284
0.0113636	0.004369931
0.011236	0.004456739
0.0111111	0.004236733
0.010989	0.003922664
0.0108696	0.003867507
0.0107527	0.003901082
0.0106383	0.003459227
0.0105263	0.003046894
0.0104167	0.002931475
0.0103093	0.002742429
0.0102041	0.003007174
0.010101	0.002633518
0.01	0.002579894
0.00990099	0.002519396
0.00980392	0.002464915
0.00970874	0.002242528
0.00961538	0.002057186
0.00952381	0.002284967
0.00943396	0.002116422
0.00934579	0.002053425
0.00925926	0.002260817
0.00917431	0.001950426
0.00909091	0.00212379
0.00900901	0.003390208
0.00892857	0.002259279
0.00884956	0.001975996
0.00877193	0.001996682
0.00869565	0.005919239
0.00862069	0.002243612
0.00854701	0.001846627
0.00847458	0.001674687
0.00840336	0.001689076
0.00833333	0.00169487
0.00826446	0.00153047
0.00819672	0.00140631
0.00813008	0.001497857
0.00806452	0.001479822
0.008	0.001572793
0.00793651	0.001474965
0.00787402	0.001465802
0.0078125	0.001696158
0.00775194	0.001809447
0.00769231	0.001791356
0.00763359	0.001931166
0.00757576	0.002603973
0.0075188	0.00340026
0.00746269	0.003362413
0.00740741	0.002975778
0.00735294	0.002752965
0.00729927	0.003206332
0.00724638	0.002911974
0.00719424	0.00215373
0.00714286	0.002040559
0.0070922	0.002295544
0.00704225	0.002127217
0.00699301	0.002152763
0.00694444	0.002358728
0.00689655	0.002220946
0.00684932	0.002528141
0.00680272	0.002971069
0.00675676	0.002958074
0.00671141	0.002248986
0.00666667	0.002025898
0.00662252	0.002034848
0.00657895	0.002157708
0.00653595	0.001807934
0.00649351	0.001797124
0.00645161	0.001800534
0.00641026	0.002412231
0.00636943	0.002651459
0.00632911	0.002268639
0.00628931	0.001655457
0.00625	0.001413194
0.00621118	0.001227793
0.00617284	0.001155074
0.00613497	0.00132772
0.00609756	0.001512145
0.00606061	0.001519913
0.0060241	0.001446207
0.00598802	0.001192919
0.00595238	0.001093164
0.00591716	0.001144441
0.00588235	0.000988056
0.00584795	0.000978722
0.00581395	0.000974236
0.00578035	0.001021926
0.00574713	0.000888639
0.00571429	0.000988422
0.00568182	0.000949692
0.00564972	0.000835899
0.00561798	0.000939515
0.00558659	0.000902708
0.00555556	0.000906485
0.00552486	0.000955857
0.00549451	0.000935941
0.00546448	0.000942237
0.00543478	0.000921061
0.00540541	0.000914483
0.00537634	0.000873425
0.00534759	0.000946704
0.00531915	0.000954565
0.00529101	0.000914679
0.00526316	0.000877104
0.0052356	0.000875143
0.00520833	0.000854389
0.00518135	0.000858082
0.00515464	0.000867387
0.00512821	0.000849719
0.00510204	0.000847328
0.00507614	0.000901224
0.00505051	0.000868546
0.00502513	0.000904546
