xSum_mm,ySum_mm
1,-2.44008199567778e-05
2,-0.0025114496761846
3,-0.00498784063179335
4,-0.00745259127023113
5,-0.00990471917494609
6,-0.0123452419293864
7,-0.014775177117
8,-0.0171925374798569
9,-0.0195983163945132
10,-0.0219935023961469
11,-0.0243750840199361
12,-0.0267460498010585
13,-0.0291053882746923
14,-0.0314530879760151
15,-0.0337881374402052
16,-0.0361125252024403
17,-0.0384232397978985
18,-0.0407232697617577
19,-0.0430106036291958
20,-0.0452882300466078
21,-0.0475521402183809
22,-0.0498033279068947
23,-0.0520447869857456
24,-0.0542725113285301
25,-0.0564884948088448
26,-0.0586927313002862
27,-0.0608852146764508
28,-0.0630649388109351
29,-0.0652328975773357
30,-0.067388084849249
31,-0.0695314945002716
32,-0.071664120404
33,-0.0737829565668949
34,-0.0758899975268737
35,-0.0779852379547181
36,-0.0800676725212097
37,-0.0821372958971302
38,-0.0841961027532611
39,-0.0862420877603841
40,-0.0882752455892808
41,-0.0902955709107329
42,-0.092305058395522
43,-0.0943007027144298
44,-0.0962844985382377
45,-0.0982574405377276
46,-0.100215523383681
47,-0.10216174174688
48,-0.104097090298105
49,-0.106018563708139
50,-0.107927156647762
51,-0.109824863787758
52,-0.111708679798907
53,-0.11357959935199
54,-0.115439617117791
55,-0.117285727767089
56,-0.119118925970667
57,-0.120940206399307
58,-0.12274856372379
59,-0.124543992614898
60,-0.126326487743412
61,-0.128098043780114
62,-0.129854655395785
63,-0.131599317261208
64,-0.133332024047164
65,-0.135050770424434
66,-0.136757551063801
67,-0.138451360636045
68,-0.140132193811948
69,-0.141799045262293
70,-0.143454909692856
71,-0.145096782614308
72,-0.146725660342215
73,-0.148342539227139
74,-0.149944415619641
75,-0.151534285870281
76,-0.153112146329621
77,-0.154675993348222
78,-0.156226823276645
79,-0.157764632465452
80,-0.159290417265203
81,-0.16080117402646
82,-0.162299899099783
83,-0.163785588835735
84,-0.165258239584876
85,-0.166716847697767
86,-0.16816340952497
87,-0.169595921417045
88,-0.171015379724555
89,-0.172421780798059
90,-0.173814120988119
91,-0.175194396645297
92,-0.176560604120153
93,-0.177913739763248
94,-0.179252799925145
95,-0.180579780956403
96,-0.181892679207585
97,-0.183191491029251
98,-0.184477212771962
99,-0.18575084078628
100,-0.187009371422766
101,-0.18825480103198
102,-0.189488125964485
103,-0.190706342570841
104,-0.191911447201609
105,-0.193103436207351
106,-0.194281305938628
107,-0.195445052746
108,-0.196596673219053
109,-0.197733164903461
110,-0.198856525583925
111,-0.199966753045143
112,-0.201062845071814
113,-0.202144799448638
114,-0.203214613960312
115,-0.204269286391538
116,-0.205309814527012
117,-0.206338196151436
118,-0.207351429049506
119,-0.208350511005924
120,-0.209336439805386
121,-0.210309213232594
122,-0.211266829072245
123,-0.212211285109039
124,-0.213142579127675
125,-0.214058708912852
126,-0.214960672249269
127,-0.215849466921625
128,-0.216724090714618
129,-0.217584541412949
130,-0.218431816801316
131,-0.219263914664418
132,-0.220081832786954
133,-0.220887568953624
134,-0.221677120949126
135,-0.222453486558159
136,-0.223215663565423
137,-0.223963649755616
138,-0.224697442913437
139,-0.225416040823586
140,-0.226122441270762
141,-0.226813642039663
142,-0.227489640914989
143,-0.228153435681439
144,-0.228801024123712
145,-0.229435404057406
146,-0.230055574008804
147,-0.230660533214876
148,-0.231251280943489
149,-0.231828816462512
150,-0.232390139039812
151,-0.232938247943257
152,-0.233472142440716
153,-0.233990821800056
154,-0.234495285289146
155,-0.234985532175852
156,-0.235461561728045
157,-0.23592237321359
158,-0.236368965900358
159,-0.236800339056214
160,-0.237217491949028
161,-0.237620423846668
162,-0.238009134017
163,-0.238382621727895
164,-0.238740886247218
165,-0.239085926842839
166,-0.239414742782626
167,-0.239729333334446
168,-0.240030697766167
169,-0.240315835345658
170,-0.240585745340786
