xSum_mm	ySum_mm
1	-0.00247899918004322
2	-0.00496785032381539
3	-0.00744495936820666
4	-0.00990950872976887
5	-0.0123592808250539
6	-0.0147927580706137
7	-0.017213622883
8	-0.0196197625201431
9	-0.0220107836054868
10	-0.024386997603853
11	-0.0267512159800639
12	-0.0291021501989415
13	-0.0314405117253078
14	-0.0337655120239849
15	-0.0360767625597948
16	-0.0383764747975597
17	-0.0406597602021015
18	-0.0429291302382423
19	-0.0451852963708042
20	-0.0474293699533923
21	-0.0496609597816191
22	-0.0518802720931053
23	-0.0540860130142544
24	-0.0562793886714699
25	-0.0584592051911552
26	-0.0606252686997138
27	-0.0627762853235492
28	-0.0649149611890649
29	-0.0670430024226643
30	-0.069160215150751
31	-0.0712654054997284
32	-0.073358679596
33	-0.0754379434331051
34	-0.0775051024731263
35	-0.0795594620452819
36	-0.0816011274787903
37	-0.0836312041028698
38	-0.0856483972467389
39	-0.0876517122396159
40	-0.0896430544107192
41	-0.0916213290892671
42	-0.093588141604478
43	-0.0955425972855703
44	-0.0974842014617623
45	-0.0994134594622724
46	-0.101330976616319
47	-0.10323525825312
48	-0.105127609701895
49	-0.107007336291861
50	-0.108874343352238
51	-0.110729436212242
52	-0.112573920201093
53	-0.11440520064801
54	-0.116223382882209
55	-0.118028072232911
56	-0.119819374029333
57	-0.121598093600693
58	-0.12336373627621
59	-0.125116407385102
60	-0.126855312256588
61	-0.128582656219886
62	-0.130297544604215
63	-0.132000282738792
64	-0.133691475952836
65	-0.135370429575566
66	-0.137036648936199
67	-0.138690539363955
68	-0.140332006188052
69	-0.141960704737707
70	-0.143576550307144
71	-0.145180017385692
72	-0.146770759657785
73	-0.148349290772861
74	-0.149915324380359
75	-0.151468484129719
76	-0.153007333670379
77	-0.154532036651778
78	-0.156043946723355
79	-0.157542777534548
80	-0.159029522734797
81	-0.16050386597354
82	-0.161965890900217
83	-0.163415191164265
84	-0.164850580415124
85	-0.166271762302233
86	-0.16767844047503
87	-0.169072448582955
88	-0.170453660275445
89	-0.171822999201941
90	-0.173180309011881
91	-0.174523973354703
92	-0.175856215879847
93	-0.177175160236752
94	-0.178479000074855
95	-0.179769109043597
96	-0.181046080792415
97	-0.182310658970749
98	-0.183562687228038
99	-0.18480304921372
100	-0.186029528577234
101	-0.18724311896802
102	-0.188443524035515
103	-0.189631187429159
104	-0.190805992798391
105	-0.191968023792649
106	-0.193116244061372
107	-0.194251857254
108	-0.195372816780948
109	-0.196479185096539
110	-0.197571244416075
111	-0.198651256954857
112	-0.199718824928186
113	-0.200773420551362
114	-0.201814586039688
115	-0.202841743608462
116	-0.203855085472988
117	-0.204853973848564
118	-0.205839670950494
119	-0.206812458994076
120	-0.207772710194614
121	-0.208719036767406
122	-0.209652300927755
123	-0.210572644890961
124	-0.211479280872325
125	-0.212371991087148
126	-0.213251737750731
127	-0.214118013078375
128	-0.214969759285382
129	-0.215807438587051
130	-0.216630483198684
131	-0.217439555335582
132	-0.218234507213046
133	-0.219017121046376
134	-0.219786549050874
135	-0.220543793441841
136	-0.221286536434577
137	-0.222016460244384
138	-0.222731987086563
139	-0.223433099176414
140	-0.224120858729238
141	-0.224794567960337
142	-0.225455139085011
143	-0.226100424318561
144	-0.226730455876288
145	-0.227345255942595
146	-0.227945925991196
147	-0.228531226785124
148	-0.229102399056511
149	-0.229659733537488
150	-0.230203250960188
151	-0.230732823056743
152	-0.231247945559284
153	-0.231749709199944
154	-0.232237516710854
155	-0.232711131824148
156	-0.233170868271955
157	-0.23361711278641
158	-0.234050017099642
159	-0.234470190943786
160	-0.234876251050972
161	-0.235267064153332
162	-0.235643629983
163	-0.236004935272105
164	-0.236350773752782
165	-0.236682382157161
166	-0.236998836217374
167	-0.237299661665554
168	-0.237586900233833
169	-0.237858867654342
170	-0.238116385659214
171	-0.23835884298058
172	-0.238587432350573
173	-0.238802602501324
174	-0.239003132164966
175	-0.23918908107363
176	-0.239359913359449
177	-0.239516971554555
178	-0.239660837291079
179	-0.239790036101153
180	-0.23990422581691
181	-0.240003988470482
182	-0.240088043294
183	-0.240156703576155
184	-0.240210877951873
185	-0.240250312272638
186	-0.240275184669934
187	-0.240286284155245
188	-0.240283401395056
189	-0.24026440479585
190	-0.240230068474112
191	-0.240180570586326
192	-0.240116744703976
